,sg_value,integer,quadrated
"(7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,21,FALSE
"(2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,21,FALSE
"(4, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,21,FALSE
"(3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",5,21,FALSE
"(6, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,21,FALSE
"(5, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,21,FALSE
"(4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,21,FALSE
"(8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,21,FALSE
"(3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,21,FALSE
"(5, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(4, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,21,FALSE
"(7, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,21,FALSE
"(3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,21,FALSE
"(6, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,21,FALSE
"(5, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,21,FALSE
"(9, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,21,FALSE
"(2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,21,FALSE
"(4, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,21,FALSE
"(6, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(5, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,21,FALSE
"(4, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,21,FALSE
"(8, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,21,FALSE
"(4, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,21,FALSE
"(7, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(6, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,21,FALSE
"(5, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,21,FALSE
"(10, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,21,FALSE
"(3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,21,FALSE
"(5, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(4, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,21,FALSE
"(7, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(3, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",7,21,FALSE
"(6, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,21,FALSE
"(5, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(9, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,21,FALSE
"(5, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,21,FALSE
"(4, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(8, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(7, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(6, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,21,FALSE
"(11, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,21,FALSE
"(2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,21,FALSE
"(4, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,21,FALSE
"(6, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(5, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(4, 4, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,21,FALSE
"(8, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(4, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,21,FALSE
"(7, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,21,FALSE
"(6, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,21,FALSE
"(5, 5, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",5,21,FALSE
"(10, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,21,FALSE
"(3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,21,FALSE
"(6, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,21,FALSE
"(5, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,21,FALSE
"(9, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,21,FALSE
"(8, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(7, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,21,FALSE
"(6, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,21,FALSE
"(12, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,21,FALSE
"(3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",1,21,FALSE
"(5, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(4, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",0,21,FALSE
"(7, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(3, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",5,21,FALSE
"(6, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(5, 4, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",1,21,FALSE
"(9, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(5, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1)",0,21,FALSE
"(4, 4, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1)",3,21,FALSE
"(8, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1)",0,21,FALSE
"(7, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(6, 5, 2, 1, 1, 1, 1, 1, 1, 1, 1)",0,21,FALSE
"(11, 2, 1, 1, 1, 1, 1, 1, 1, 1)",2,21,FALSE
"(4, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1)",3,21,FALSE
"(7, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1)",1,21,FALSE
"(6, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1)",0,21,FALSE
"(5, 5, 3, 1, 1, 1, 1, 1, 1, 1, 1)",1,21,FALSE
"(10, 3, 1, 1, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(5, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1)",5,21,FALSE
"(9, 4, 1, 1, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(8, 5, 1, 1, 1, 1, 1, 1, 1, 1)",6,21,FALSE
"(7, 6, 1, 1, 1, 1, 1, 1, 1, 1)",2,21,FALSE
"(13, 1, 1, 1, 1, 1, 1, 1, 1)",1,21,FALSE
"(2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",3,21,FALSE
"(4, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",2,21,FALSE
"(6, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(5, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",7,21,FALSE
"(4, 4, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",3,21,FALSE
"(8, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(4, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(7, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1)",0,21,FALSE
"(6, 4, 2, 2, 1, 1, 1, 1, 1, 1, 1)",9,21,FALSE
"(5, 5, 2, 2, 1, 1, 1, 1, 1, 1, 1)",2,21,FALSE
"(10, 2, 2, 1, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(3, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1)",1,21,FALSE
"(6, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1)",2,21,FALSE
"(5, 4, 3, 2, 1, 1, 1, 1, 1, 1, 1)",1,21,FALSE
"(9, 3, 2, 1, 1, 1, 1, 1, 1, 1)",5,21,FALSE
"(4, 4, 4, 2, 1, 1, 1, 1, 1, 1, 1)",0,21,FALSE
"(8, 4, 2, 1, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(7, 5, 2, 1, 1, 1, 1, 1, 1, 1)",7,21,FALSE
"(6, 6, 2, 1, 1, 1, 1, 1, 1, 1)",3,21,FALSE
"(12, 2, 1, 1, 1, 1, 1, 1, 1)",2,21,FALSE
"(5, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1)",5,21,FALSE
"(4, 4, 3, 3, 1, 1, 1, 1, 1, 1, 1)",5,21,FALSE
"(8, 3, 3, 1, 1, 1, 1, 1, 1, 1)",3,21,FALSE
"(7, 4, 3, 1, 1, 1, 1, 1, 1, 1)",2,21,FALSE
"(6, 5, 3, 1, 1, 1, 1, 1, 1, 1)",3,21,FALSE
"(11, 3, 1, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(6, 4, 4, 1, 1, 1, 1, 1, 1, 1)",3,21,FALSE
"(5, 5, 4, 1, 1, 1, 1, 1, 1, 1)",0,21,FALSE
"(10, 4, 1, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(9, 5, 1, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(8, 6, 1, 1, 1, 1, 1, 1, 1)",0,21,FALSE
"(7, 7, 1, 1, 1, 1, 1, 1, 1)",1,21,FALSE
"(14, 1, 1, 1, 1, 1, 1, 1)",3,21,FALSE
"(3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1)",2,21,FALSE
"(5, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(4, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1)",3,21,FALSE
"(7, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(3, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(6, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1)",3,21,FALSE
"(5, 4, 2, 2, 2, 1, 1, 1, 1, 1, 1)",2,21,FALSE
"(9, 2, 2, 2, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(5, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1)",5,21,FALSE
"(4, 4, 3, 2, 2, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(8, 3, 2, 2, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(7, 4, 2, 2, 1, 1, 1, 1, 1, 1)",5,21,FALSE
"(6, 5, 2, 2, 1, 1, 1, 1, 1, 1)",3,21,FALSE
"(11, 2, 2, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(4, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1)",3,21,FALSE
"(7, 3, 3, 2, 1, 1, 1, 1, 1, 1)",2,21,FALSE
"(6, 4, 3, 2, 1, 1, 1, 1, 1, 1)",1,21,FALSE
"(5, 5, 3, 2, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(10, 3, 2, 1, 1, 1, 1, 1, 1)",5,21,FALSE
"(5, 4, 4, 2, 1, 1, 1, 1, 1, 1)",2,21,FALSE
"(9, 4, 2, 1, 1, 1, 1, 1, 1)",0,21,FALSE
"(8, 5, 2, 1, 1, 1, 1, 1, 1)",3,21,FALSE
"(7, 6, 2, 1, 1, 1, 1, 1, 1)",3,21,FALSE
"(13, 2, 1, 1, 1, 1, 1, 1)",2,21,FALSE
"(3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1)",1,21,FALSE
"(6, 3, 3, 3, 1, 1, 1, 1, 1, 1)",3,21,FALSE
"(5, 4, 3, 3, 1, 1, 1, 1, 1, 1)",2,21,FALSE
"(9, 3, 3, 1, 1, 1, 1, 1, 1)",1,21,FALSE
"(4, 4, 4, 3, 1, 1, 1, 1, 1, 1)",3,21,FALSE
"(8, 4, 3, 1, 1, 1, 1, 1, 1)",2,21,FALSE
"(7, 5, 3, 1, 1, 1, 1, 1, 1)",1,21,FALSE
"(6, 6, 3, 1, 1, 1, 1, 1, 1)",0,21,FALSE
"(12, 3, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(7, 4, 4, 1, 1, 1, 1, 1, 1)",5,21,FALSE
"(6, 5, 4, 1, 1, 1, 1, 1, 1)",0,21,FALSE
"(11, 4, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(5, 5, 5, 1, 1, 1, 1, 1, 1)",1,21,FALSE
"(10, 5, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(9, 6, 1, 1, 1, 1, 1, 1)",4,21,FALSE
"(8, 7, 1, 1, 1, 1, 1, 1)",3,21,FALSE
"(15, 1, 1, 1, 1, 1, 1)",1,21,FALSE
"(2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1)",0,21,FALSE
"(4, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1)",4,21,FALSE
"(3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1)",1,21,FALSE
"(6, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1)",4,21,FALSE
"(5, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1)",4,21,FALSE
"(4, 4, 2, 2, 2, 2, 1, 1, 1, 1, 1)",0,21,FALSE
"(8, 2, 2, 2, 2, 1, 1, 1, 1, 1)",4,21,FALSE
"(4, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1)",7,21,FALSE
"(7, 3, 2, 2, 2, 1, 1, 1, 1, 1)",3,21,FALSE
"(6, 4, 2, 2, 2, 1, 1, 1, 1, 1)",0,21,FALSE
"(5, 5, 2, 2, 2, 1, 1, 1, 1, 1)",1,21,FALSE
"(10, 2, 2, 2, 1, 1, 1, 1, 1)",4,21,FALSE
"(3, 3, 3, 3, 2, 2, 1, 1, 1, 1, 1)",2,21,FALSE
"(6, 3, 3, 2, 2, 1, 1, 1, 1, 1)",7,21,FALSE
"(5, 4, 3, 2, 2, 1, 1, 1, 1, 1)",1,21,FALSE
"(9, 3, 2, 2, 1, 1, 1, 1, 1)",0,21,FALSE
"(4, 4, 4, 2, 2, 1, 1, 1, 1, 1)",3,21,FALSE
"(8, 4, 2, 2, 1, 1, 1, 1, 1)",5,21,FALSE
"(7, 5, 2, 2, 1, 1, 1, 1, 1)",4,21,FALSE
"(6, 6, 2, 2, 1, 1, 1, 1, 1)",0,21,FALSE
"(12, 2, 2, 1, 1, 1, 1, 1)",4,21,FALSE
"(5, 3, 3, 3, 2, 1, 1, 1, 1, 1)",7,21,FALSE
"(4, 4, 3, 3, 2, 1, 1, 1, 1, 1)",4,21,FALSE
"(8, 3, 3, 2, 1, 1, 1, 1, 1)",2,21,FALSE
"(7, 4, 3, 2, 1, 1, 1, 1, 1)",1,21,FALSE
"(6, 5, 3, 2, 1, 1, 1, 1, 1)",2,21,FALSE
"(11, 3, 2, 1, 1, 1, 1, 1)",0,21,FALSE
"(6, 4, 4, 2, 1, 1, 1, 1, 1)",6,21,FALSE
"(5, 5, 4, 2, 1, 1, 1, 1, 1)",2,21,FALSE
"(10, 4, 2, 1, 1, 1, 1, 1)",4,21,FALSE
"(9, 5, 2, 1, 1, 1, 1, 1)",3,21,FALSE
"(8, 6, 2, 1, 1, 1, 1, 1)",3,21,FALSE
"(7, 7, 2, 1, 1, 1, 1, 1)",5,21,FALSE
"(14, 2, 1, 1, 1, 1, 1)",2,21,FALSE
"(4, 3, 3, 3, 3, 1, 1, 1, 1, 1)",3,21,FALSE
"(7, 3, 3, 3, 1, 1, 1, 1, 1)",5,21,FALSE
"(6, 4, 3, 3, 1, 1, 1, 1, 1)",2,21,FALSE
"(5, 5, 3, 3, 1, 1, 1, 1, 1)",1,21,FALSE
"(10, 3, 3, 1, 1, 1, 1, 1)",3,21,FALSE
"(5, 4, 4, 3, 1, 1, 1, 1, 1)",1,21,FALSE
"(9, 4, 3, 1, 1, 1, 1, 1)",2,21,FALSE
"(8, 5, 3, 1, 1, 1, 1, 1)",0,21,FALSE
"(7, 6, 3, 1, 1, 1, 1, 1)",0,21,FALSE
"(13, 3, 1, 1, 1, 1, 1)",4,21,FALSE
"(4, 4, 4, 4, 1, 1, 1, 1, 1)",0,21,FALSE
"(8, 4, 4, 1, 1, 1, 1, 1)",3,21,FALSE
"(7, 5, 4, 1, 1, 1, 1, 1)",0,21,FALSE
"(6, 6, 4, 1, 1, 1, 1, 1)",3,21,FALSE
"(12, 4, 1, 1, 1, 1, 1)",4,21,FALSE
"(6, 5, 5, 1, 1, 1, 1, 1)",3,21,FALSE
"(11, 5, 1, 1, 1, 1, 1)",4,21,FALSE
"(10, 6, 1, 1, 1, 1, 1)",4,21,FALSE
"(9, 7, 1, 1, 1, 1, 1)",1,21,FALSE
"(8, 8, 1, 1, 1, 1, 1)",0,21,FALSE
"(16, 1, 1, 1, 1, 1)",3,21,FALSE
"(3, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1)",1,21,FALSE
"(5, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1)",4,21,FALSE
"(4, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1)",0,21,FALSE
"(7, 2, 2, 2, 2, 2, 1, 1, 1, 1)",4,21,FALSE
"(3, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1)",4,21,FALSE
"(6, 3, 2, 2, 2, 2, 1, 1, 1, 1)",0,21,FALSE
"(5, 4, 2, 2, 2, 2, 1, 1, 1, 1)",1,21,FALSE
"(9, 2, 2, 2, 2, 1, 1, 1, 1)",4,21,FALSE
"(5, 3, 3, 2, 2, 2, 1, 1, 1, 1)",6,21,FALSE
"(4, 4, 3, 2, 2, 2, 1, 1, 1, 1)",7,21,FALSE
"(8, 3, 2, 2, 2, 1, 1, 1, 1)",3,21,FALSE
"(7, 4, 2, 2, 2, 1, 1, 1, 1)",0,21,FALSE
"(6, 5, 2, 2, 2, 1, 1, 1, 1)",0,21,FALSE
"(11, 2, 2, 2, 1, 1, 1, 1)",4,21,FALSE
"(4, 3, 3, 3, 2, 2, 1, 1, 1, 1)",0,21,FALSE
"(7, 3, 3, 2, 2, 1, 1, 1, 1)",5,21,FALSE
"(6, 4, 3, 2, 2, 1, 1, 1, 1)",6,21,FALSE
"(5, 5, 3, 2, 2, 1, 1, 1, 1)",5,21,FALSE
"(10, 3, 2, 2, 1, 1, 1, 1)",4,21,FALSE
"(5, 4, 4, 2, 2, 1, 1, 1, 1)",2,21,FALSE
"(9, 4, 2, 2, 1, 1, 1, 1)",5,21,FALSE
"(8, 5, 2, 2, 1, 1, 1, 1)",0,21,FALSE
"(7, 6, 2, 2, 1, 1, 1, 1)",1,21,FALSE
"(13, 2, 2, 1, 1, 1, 1)",4,21,FALSE
"(3, 3, 3, 3, 3, 2, 1, 1, 1, 1)",1,21,FALSE
"(6, 3, 3, 3, 2, 1, 1, 1, 1)",3,21,FALSE
"(5, 4, 3, 3, 2, 1, 1, 1, 1)",2,21,FALSE
"(9, 3, 3, 2, 1, 1, 1, 1)",2,21,FALSE
"(4, 4, 4, 3, 2, 1, 1, 1, 1)",0,21,FALSE
"(8, 4, 3, 2, 1, 1, 1, 1)",1,21,FALSE
"(7, 5, 3, 2, 1, 1, 1, 1)",2,21,FALSE
"(6, 6, 3, 2, 1, 1, 1, 1)",3,21,FALSE
"(12, 3, 2, 1, 1, 1, 1)",0,21,FALSE
"(7, 4, 4, 2, 1, 1, 1, 1)",1,21,FALSE
"(6, 5, 4, 2, 1, 1, 1, 1)",5,21,FALSE
"(11, 4, 2, 1, 1, 1, 1)",0,21,FALSE
"(5, 5, 5, 2, 1, 1, 1, 1)",7,21,FALSE
"(10, 5, 2, 1, 1, 1, 1)",3,21,FALSE
"(9, 6, 2, 1, 1, 1, 1)",4,21,FALSE
"(8, 7, 2, 1, 1, 1, 1)",0,21,FALSE
"(15, 2, 1, 1, 1, 1)",2,21,FALSE
"(5, 3, 3, 3, 3, 1, 1, 1, 1)",1,21,FALSE
"(4, 4, 3, 3, 3, 1, 1, 1, 1)",0,21,FALSE
"(8, 3, 3, 3, 1, 1, 1, 1)",3,21,FALSE
"(7, 4, 3, 3, 1, 1, 1, 1)",4,21,FALSE
"(6, 5, 3, 3, 1, 1, 1, 1)",3,21,FALSE
"(11, 3, 3, 1, 1, 1, 1)",1,21,FALSE
"(6, 4, 4, 3, 1, 1, 1, 1)",3,21,FALSE
"(5, 5, 4, 3, 1, 1, 1, 1)",4,21,FALSE
"(10, 4, 3, 1, 1, 1, 1)",2,21,FALSE
"(9, 5, 3, 1, 1, 1, 1)",5,21,FALSE
"(8, 6, 3, 1, 1, 1, 1)",6,21,FALSE
"(7, 7, 3, 1, 1, 1, 1)",1,21,FALSE
"(14, 3, 1, 1, 1, 1)",4,21,FALSE
"(5, 4, 4, 4, 1, 1, 1, 1)",1,21,FALSE
"(9, 4, 4, 1, 1, 1, 1)",5,21,FALSE
"(8, 5, 4, 1, 1, 1, 1)",5,21,FALSE
"(7, 6, 4, 1, 1, 1, 1)",4,21,FALSE
"(13, 4, 1, 1, 1, 1)",4,21,FALSE
"(7, 5, 5, 1, 1, 1, 1)",1,21,FALSE
"(6, 6, 5, 1, 1, 1, 1)",4,21,FALSE
"(12, 5, 1, 1, 1, 1)",4,21,FALSE
"(11, 6, 1, 1, 1, 1)",4,21,FALSE
"(10, 7, 1, 1, 1, 1)",6,21,FALSE
"(9, 8, 1, 1, 1, 1)",2,21,FALSE
"(17, 1, 1, 1, 1)",1,21,FALSE
"(2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1)",3,21,FALSE
"(4, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1)",4,21,FALSE
"(3, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1)",2,21,FALSE
"(6, 2, 2, 2, 2, 2, 2, 1, 1, 1)",6,21,FALSE
"(5, 3, 2, 2, 2, 2, 2, 1, 1, 1)",7,21,FALSE
"(4, 4, 2, 2, 2, 2, 2, 1, 1, 1)",3,21,FALSE
"(8, 2, 2, 2, 2, 2, 1, 1, 1)",4,21,FALSE
"(4, 3, 3, 2, 2, 2, 2, 1, 1, 1)",5,21,FALSE
"(7, 3, 2, 2, 2, 2, 1, 1, 1)",4,21,FALSE
"(6, 4, 2, 2, 2, 2, 1, 1, 1)",6,21,FALSE
"(5, 5, 2, 2, 2, 2, 1, 1, 1)",2,21,FALSE
"(10, 2, 2, 2, 2, 1, 1, 1)",6,21,FALSE
"(3, 3, 3, 3, 2, 2, 2, 1, 1, 1)",1,21,FALSE
"(6, 3, 3, 2, 2, 2, 1, 1, 1)",2,21,FALSE
"(5, 4, 3, 2, 2, 2, 1, 1, 1)",2,21,FALSE
"(9, 3, 2, 2, 2, 1, 1, 1)",3,21,FALSE
"(4, 4, 4, 2, 2, 2, 1, 1, 1)",4,21,FALSE
"(8, 4, 2, 2, 2, 1, 1, 1)",0,21,FALSE
"(7, 5, 2, 2, 2, 1, 1, 1)",7,21,FALSE
"(6, 6, 2, 2, 2, 1, 1, 1)",3,21,FALSE
"(12, 2, 2, 2, 1, 1, 1)",4,21,FALSE
"(5, 3, 3, 3, 2, 2, 1, 1, 1)",4,21,FALSE
"(4, 4, 3, 3, 2, 2, 1, 1, 1)",5,21,FALSE
"(8, 3, 3, 2, 2, 1, 1, 1)",0,21,FALSE
"(7, 4, 3, 2, 2, 1, 1, 1)",2,21,FALSE
"(6, 5, 3, 2, 2, 1, 1, 1)",3,21,FALSE
"(11, 3, 2, 2, 1, 1, 1)",4,21,FALSE
"(6, 4, 4, 2, 2, 1, 1, 1)",6,21,FALSE
"(5, 5, 4, 2, 2, 1, 1, 1)",1,21,FALSE
"(10, 4, 2, 2, 1, 1, 1)",5,21,FALSE
"(9, 5, 2, 2, 1, 1, 1)",0,21,FALSE
"(8, 6, 2, 2, 1, 1, 1)",6,21,FALSE
"(7, 7, 2, 2, 1, 1, 1)",2,21,FALSE
"(14, 2, 2, 1, 1, 1)",3,21,FALSE
"(4, 3, 3, 3, 3, 2, 1, 1, 1)",4,21,FALSE
"(7, 3, 3, 3, 2, 1, 1, 1)",5,21,FALSE
"(6, 4, 3, 3, 2, 1, 1, 1)",4,21,FALSE
"(5, 5, 3, 3, 2, 1, 1, 1)",5,21,FALSE
"(10, 3, 3, 2, 1, 1, 1)",2,21,FALSE
"(5, 4, 4, 3, 2, 1, 1, 1)",6,21,FALSE
"(9, 4, 3, 2, 1, 1, 1)",1,21,FALSE
"(8, 5, 3, 2, 1, 1, 1)",2,21,FALSE
"(7, 6, 3, 2, 1, 1, 1)",3,21,FALSE
"(13, 3, 2, 1, 1, 1)",0,21,FALSE
"(4, 4, 4, 4, 2, 1, 1, 1)",3,21,FALSE
"(8, 4, 4, 2, 1, 1, 1)",4,21,FALSE
"(7, 5, 4, 2, 1, 1, 1)",4,21,FALSE
"(6, 6, 4, 2, 1, 1, 1)",0,21,FALSE
"(12, 4, 2, 1, 1, 1)",4,21,FALSE
"(6, 5, 5, 2, 1, 1, 1)",2,21,FALSE
"(11, 5, 2, 1, 1, 1)",3,21,FALSE
"(10, 6, 2, 1, 1, 1)",0,21,FALSE
"(9, 7, 2, 1, 1, 1)",7,21,FALSE
"(8, 8, 2, 1, 1, 1)",3,21,FALSE
"(16, 2, 1, 1, 1)",2,21,FALSE
"(3, 3, 3, 3, 3, 3, 1, 1, 1)",1,21,FALSE
"(6, 3, 3, 3, 3, 1, 1, 1)",3,21,FALSE
"(5, 4, 3, 3, 3, 1, 1, 1)",0,21,FALSE
"(9, 3, 3, 3, 1, 1, 1)",5,21,FALSE
"(4, 4, 4, 3, 3, 1, 1, 1)",3,21,FALSE
"(8, 4, 3, 3, 1, 1, 1)",1,21,FALSE
"(7, 5, 3, 3, 1, 1, 1)",6,21,FALSE
