,sg_value,integer
"(10, 5, 5)",0,20
"(9, 6, 5)",3,20
"(8, 7, 5)",7,20
"(15, 5)",0,20
"(8, 6, 6)",2,20
"(7, 7, 6)",5,20
"(14, 6)",3,20
"(13, 7)",0,20
"(12, 8)",3,20
"(11, 9)",4,20
"(10, 10)",0,20
"(20,)",2,20
"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,21
"(2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,21
"(3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,21
"(2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,21
"(4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,21
"(3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,21
"(5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,21
"(2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,21
"(4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,21
"(3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,21
"(6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,21
"(3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,21
"(5, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,21
"(4, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,21
"(7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,21
"(2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,21
"(4, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,21
"(3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",5,21
"(6, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,21
"(5, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,21
"(4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,21
"(8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,21
"(3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,21
"(5, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,21
"(4, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,21
"(7, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,21
"(3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,21
"(6, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,21
"(5, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,21
"(9, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,21
"(2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,21
"(4, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,21
"(3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,21
"(6, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,21
"(5, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,21
"(4, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,21
"(8, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,21
"(4, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,21
"(7, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,21
"(6, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,21
"(5, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,21
"(10, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,21
"(3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,21
"(5, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,21
"(4, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,21
"(7, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,21
"(3, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",7,21
"(6, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,21
"(5, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,21
"(9, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,21
"(5, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,21
"(4, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,21
"(8, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,21
"(7, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,21
"(6, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,21
"(11, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,21
"(2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,21
"(4, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,21
"(3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,21
"(6, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,21
"(5, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,21
"(4, 4, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,21
"(8, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,21
"(4, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,21
"(7, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,21
"(6, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,21
"(5, 5, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",5,21
"(10, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2,21
"(3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,21
"(6, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,21
"(5, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,21
"(9, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,21
"(4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,21
"(8, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1)",4,21
"(7, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1)",1,21
"(6, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,21
"(12, 1, 1, 1, 1, 1, 1, 1, 1, 1)",3,21
"(3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",1,21
"(5, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",4,21
"(4, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",0,21
"(7, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",4,21
"(3, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",5,21
"(6, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",4,21
"(5, 4, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",1,21
"(9, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",4,21
"(5, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1)",0,21
"(4, 4, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1)",3,21
"(8, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1)",0,21
"(7, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1)",4,21
"(6, 5, 2, 1, 1, 1, 1, 1, 1, 1, 1)",0,21
"(11, 2, 1, 1, 1, 1, 1, 1, 1, 1)",2,21
"(4, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1)",3,21
"(7, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1)",1,21
"(6, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1)",0,21
"(5, 5, 3, 1, 1, 1, 1, 1, 1, 1, 1)",1,21
"(10, 3, 1, 1, 1, 1, 1, 1, 1, 1)",4,21
"(5, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1)",5,21
"(9, 4, 1, 1, 1, 1, 1, 1, 1, 1)",4,21
"(8, 5, 1, 1, 1, 1, 1, 1, 1, 1)",6,21
"(7, 6, 1, 1, 1, 1, 1, 1, 1, 1)",2,21
"(13, 1, 1, 1, 1, 1, 1, 1, 1)",1,21
"(2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",3,21
"(4, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",4,21
"(3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",2,21
"(6, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",4,21
"(5, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",7,21
"(4, 4, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",3,21
"(8, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)",4,21
"(4, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1)",4,21
"(7, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1)",0,21
"(6, 4, 2, 2, 1, 1, 1, 1, 1, 1, 1)",9,21
"(5, 5, 2, 2, 1, 1, 1, 1, 1, 1, 1)",2,21
"(10, 2, 2, 1, 1, 1, 1, 1, 1, 1)",4,21
"(3, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1)",1,21
"(6, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1)",2,21
"(5, 4, 3, 2, 1, 1, 1, 1, 1, 1, 1)",1,21
"(9, 3, 2, 1, 1, 1, 1, 1, 1, 1)",5,21
"(4, 4, 4, 2, 1, 1, 1, 1, 1, 1, 1)",0,21
"(8, 4, 2, 1, 1, 1, 1, 1, 1, 1)",4,21
"(7, 5, 2, 1, 1, 1, 1, 1, 1, 1)",7,21
"(6, 6, 2, 1, 1, 1, 1, 1, 1, 1)",3,21
"(12, 2, 1, 1, 1, 1, 1, 1, 1)",2,21
"(5, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1)",5,21
"(4, 4, 3, 3, 1, 1, 1, 1, 1, 1, 1)",5,21
"(8, 3, 3, 1, 1, 1, 1, 1, 1, 1)",3,21
"(7, 4, 3, 1, 1, 1, 1, 1, 1, 1)",2,21
"(6, 5, 3, 1, 1, 1, 1, 1, 1, 1)",3,21
"(11, 3, 1, 1, 1, 1, 1, 1, 1)",4,21
"(6, 4, 4, 1, 1, 1, 1, 1, 1, 1)",3,21
"(5, 5, 4, 1, 1, 1, 1, 1, 1, 1)",0,21
"(10, 4, 1, 1, 1, 1, 1, 1, 1)",4,21
"(9, 5, 1, 1, 1, 1, 1, 1, 1)",4,21
"(8, 6, 1, 1, 1, 1, 1, 1, 1)",0,21
"(7, 7, 1, 1, 1, 1, 1, 1, 1)",1,21
"(14, 1, 1, 1, 1, 1, 1, 1)",3,21
"(3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1)",2,21
"(5, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1)",4,21
"(4, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1)",3,21
"(7, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1)",4,21
"(3, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1)",4,21
"(6, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1)",3,21
"(5, 4, 2, 2, 2, 1, 1, 1, 1, 1, 1)",2,21
"(9, 2, 2, 2, 1, 1, 1, 1, 1, 1)",4,21
"(5, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1)",5,21
"(4, 4, 3, 2, 2, 1, 1, 1, 1, 1, 1)",4,21
"(8, 3, 2, 2, 1, 1, 1, 1, 1, 1)",4,21
"(7, 4, 2, 2, 1, 1, 1, 1, 1, 1)",5,21
"(6, 5, 2, 2, 1, 1, 1, 1, 1, 1)",3,21
"(11, 2, 2, 1, 1, 1, 1, 1, 1)",4,21
"(4, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1)",3,21
"(7, 3, 3, 2, 1, 1, 1, 1, 1, 1)",2,21
"(6, 4, 3, 2, 1, 1, 1, 1, 1, 1)",1,21
"(5, 5, 3, 2, 1, 1, 1, 1, 1, 1)",4,21
"(10, 3, 2, 1, 1, 1, 1, 1, 1)",5,21
"(5, 4, 4, 2, 1, 1, 1, 1, 1, 1)",2,21
"(9, 4, 2, 1, 1, 1, 1, 1, 1)",0,21
"(8, 5, 2, 1, 1, 1, 1, 1, 1)",3,21
"(7, 6, 2, 1, 1, 1, 1, 1, 1)",3,21
"(13, 2, 1, 1, 1, 1, 1, 1)",2,21
"(3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1)",1,21
"(6, 3, 3, 3, 1, 1, 1, 1, 1, 1)",3,21
"(5, 4, 3, 3, 1, 1, 1, 1, 1, 1)",2,21
"(9, 3, 3, 1, 1, 1, 1, 1, 1)",1,21
"(4, 4, 4, 3, 1, 1, 1, 1, 1, 1)",3,21
"(8, 4, 3, 1, 1, 1, 1, 1, 1)",2,21
"(7, 5, 3, 1, 1, 1, 1, 1, 1)",1,21
"(6, 6, 3, 1, 1, 1, 1, 1, 1)",0,21
"(12, 3, 1, 1, 1, 1, 1, 1)",4,21
"(7, 4, 4, 1, 1, 1, 1, 1, 1)",5,21
"(6, 5, 4, 1, 1, 1, 1, 1, 1)",0,21
"(11, 4, 1, 1, 1, 1, 1, 1)",4,21
"(5, 5, 5, 1, 1, 1, 1, 1, 1)",1,21
"(10, 5, 1, 1, 1, 1, 1, 1)",4,21
"(9, 6, 1, 1, 1, 1, 1, 1)",4,21
"(8, 7, 1, 1, 1, 1, 1, 1)",3,21
"(15, 1, 1, 1, 1, 1, 1)",1,21
"(2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1)",0,21
"(4, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1)",4,21
"(3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1)",1,21
"(6, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1)",4,21
"(5, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1)",4,21
"(4, 4, 2, 2, 2, 2, 1, 1, 1, 1, 1)",0,21
"(8, 2, 2, 2, 2, 1, 1, 1, 1, 1)",4,21
"(4, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1)",7,21
"(7, 3, 2, 2, 2, 1, 1, 1, 1, 1)",3,21
"(6, 4, 2, 2, 2, 1, 1, 1, 1, 1)",0,21
"(5, 5, 2, 2, 2, 1, 1, 1, 1, 1)",1,21
"(10, 2, 2, 2, 1, 1, 1, 1, 1)",4,21
"(3, 3, 3, 3, 2, 2, 1, 1, 1, 1, 1)",2,21
"(6, 3, 3, 2, 2, 1, 1, 1, 1, 1)",7,21
"(5, 4, 3, 2, 2, 1, 1, 1, 1, 1)",1,21
"(9, 3, 2, 2, 1, 1, 1, 1, 1)",0,21
"(4, 4, 4, 2, 2, 1, 1, 1, 1, 1)",3,21
"(8, 4, 2, 2, 1, 1, 1, 1, 1)",5,21
"(7, 5, 2, 2, 1, 1, 1, 1, 1)",4,21
"(6, 6, 2, 2, 1, 1, 1, 1, 1)",0,21
"(12, 2, 2, 1, 1, 1, 1, 1)",4,21
"(5, 3, 3, 3, 2, 1, 1, 1, 1, 1)",7,21
"(4, 4, 3, 3, 2, 1, 1, 1, 1, 1)",4,21
"(8, 3, 3, 2, 1, 1, 1, 1, 1)",2,21
"(7, 4, 3, 2, 1, 1, 1, 1, 1)",1,21
"(6, 5, 3, 2, 1, 1, 1, 1, 1)",2,21
"(11, 3, 2, 1, 1, 1, 1, 1)",0,21
"(6, 4, 4, 2, 1, 1, 1, 1, 1)",6,21
"(5, 5, 4, 2, 1, 1, 1, 1, 1)",2,21
"(10, 4, 2, 1, 1, 1, 1, 1)",4,21
"(9, 5, 2, 1, 1, 1, 1, 1)",3,21
"(8, 6, 2, 1, 1, 1, 1, 1)",3,21
"(7, 7, 2, 1, 1, 1, 1, 1)",5,21
"(14, 2, 1, 1, 1, 1, 1)",2,21
"(4, 3, 3, 3, 3, 1, 1, 1, 1, 1)",3,21
"(7, 3, 3, 3, 1, 1, 1, 1, 1)",5,21
"(6, 4, 3, 3, 1, 1, 1, 1, 1)",2,21
"(5, 5, 3, 3, 1, 1, 1, 1, 1)",1,21
"(10, 3, 3, 1, 1, 1, 1, 1)",3,21
"(5, 4, 4, 3, 1, 1, 1, 1, 1)",1,21
"(9, 4, 3, 1, 1, 1, 1, 1)",2,21
"(8, 5, 3, 1, 1, 1, 1, 1)",0,21
"(7, 6, 3, 1, 1, 1, 1, 1)",0,21
"(13, 3, 1, 1, 1, 1, 1)",4,21
"(4, 4, 4, 4, 1, 1, 1, 1, 1)",0,21
"(8, 4, 4, 1, 1, 1, 1, 1)",3,21
"(7, 5, 4, 1, 1, 1, 1, 1)",0,21
"(6, 6, 4, 1, 1, 1, 1, 1)",3,21
"(12, 4, 1, 1, 1, 1, 1)",4,21
"(6, 5, 5, 1, 1, 1, 1, 1)",3,21
"(11, 5, 1, 1, 1, 1, 1)",4,21
"(10, 6, 1, 1, 1, 1, 1)",4,21
"(9, 7, 1, 1, 1, 1, 1)",1,21
"(8, 8, 1, 1, 1, 1, 1)",0,21
"(16, 1, 1, 1, 1, 1)",3,21
"(3, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1)",1,21
"(5, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1)",4,21
"(4, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1)",0,21
"(7, 2, 2, 2, 2, 2, 1, 1, 1, 1)",4,21
"(3, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1)",4,21
"(6, 3, 2, 2, 2, 2, 1, 1, 1, 1)",0,21
"(5, 4, 2, 2, 2, 2, 1, 1, 1, 1)",1,21
"(9, 2, 2, 2, 2, 1, 1, 1, 1)",4,21
"(5, 3, 3, 2, 2, 2, 1, 1, 1, 1)",6,21
"(4, 4, 3, 2, 2, 2, 1, 1, 1, 1)",7,21
"(8, 3, 2, 2, 2, 1, 1, 1, 1)",3,21
"(7, 4, 2, 2, 2, 1, 1, 1, 1)",0,21
"(6, 5, 2, 2, 2, 1, 1, 1, 1)",0,21
"(11, 2, 2, 2, 1, 1, 1, 1)",4,21
"(4, 3, 3, 3, 2, 2, 1, 1, 1, 1)",0,21
"(7, 3, 3, 2, 2, 1, 1, 1, 1)",5,21
"(6, 4, 3, 2, 2, 1, 1, 1, 1)",6,21
"(5, 5, 3, 2, 2, 1, 1, 1, 1)",5,21
"(10, 3, 2, 2, 1, 1, 1, 1)",4,21
"(5, 4, 4, 2, 2, 1, 1, 1, 1)",2,21
"(9, 4, 2, 2, 1, 1, 1, 1)",5,21
"(8, 5, 2, 2, 1, 1, 1, 1)",0,21
"(7, 6, 2, 2, 1, 1, 1, 1)",1,21
"(13, 2, 2, 1, 1, 1, 1)",4,21
"(3, 3, 3, 3, 3, 2, 1, 1, 1, 1)",1,21
"(6, 3, 3, 3, 2, 1, 1, 1, 1)",3,21
"(5, 4, 3, 3, 2, 1, 1, 1, 1)",2,21
"(9, 3, 3, 2, 1, 1, 1, 1)",2,21
"(4, 4, 4, 3, 2, 1, 1, 1, 1)",0,21
"(8, 4, 3, 2, 1, 1, 1, 1)",1,21
"(7, 5, 3, 2, 1, 1, 1, 1)",2,21
"(6, 6, 3, 2, 1, 1, 1, 1)",3,21
"(12, 3, 2, 1, 1, 1, 1)",0,21
"(7, 4, 4, 2, 1, 1, 1, 1)",1,21
"(6, 5, 4, 2, 1, 1, 1, 1)",5,21
"(11, 4, 2, 1, 1, 1, 1)",0,21
"(5, 5, 5, 2, 1, 1, 1, 1)",7,21
"(10, 5, 2, 1, 1, 1, 1)",3,21
"(9, 6, 2, 1, 1, 1, 1)",4,21
"(8, 7, 2, 1, 1, 1, 1)",0,21
"(15, 2, 1, 1, 1, 1)",2,21
"(5, 3, 3, 3, 3, 1, 1, 1, 1)",1,21
"(4, 4, 3, 3, 3, 1, 1, 1, 1)",0,21
"(8, 3, 3, 3, 1, 1, 1, 1)",3,21
"(7, 4, 3, 3, 1, 1, 1, 1)",4,21
"(6, 5, 3, 3, 1, 1, 1, 1)",3,21
"(11, 3, 3, 1, 1, 1, 1)",1,21
"(6, 4, 4, 3, 1, 1, 1, 1)",3,21
"(5, 5, 4, 3, 1, 1, 1, 1)",4,21
"(10, 4, 3, 1, 1, 1, 1)",2,21
"(9, 5, 3, 1, 1, 1, 1)",5,21
"(8, 6, 3, 1, 1, 1, 1)",6,21
"(7, 7, 3, 1, 1, 1, 1)",1,21
"(14, 3, 1, 1, 1, 1)",4,21
"(5, 4, 4, 4, 1, 1, 1, 1)",1,21
"(9, 4, 4, 1, 1, 1, 1)",5,21
"(8, 5, 4, 1, 1, 1, 1)",5,21
"(7, 6, 4, 1, 1, 1, 1)",4,21
"(13, 4, 1, 1, 1, 1)",4,21
"(7, 5, 5, 1, 1, 1, 1)",1,21
"(6, 6, 5, 1, 1, 1, 1)",4,21
"(12, 5, 1, 1, 1, 1)",4,21
"(11, 6, 1, 1, 1, 1)",4,21
"(10, 7, 1, 1, 1, 1)",6,21
"(9, 8, 1, 1, 1, 1)",2,21
"(17, 1, 1, 1, 1)",1,21
"(2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1)",3,21
"(4, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1)",4,21
"(3, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1)",2,21
"(6, 2, 2, 2, 2, 2, 2, 1, 1, 1)",6,21
"(5, 3, 2, 2, 2, 2, 2, 1, 1, 1)",7,21
"(4, 4, 2, 2, 2, 2, 2, 1, 1, 1)",3,21
"(8, 2, 2, 2, 2, 2, 1, 1, 1)",4,21
"(4, 3, 3, 2, 2, 2, 2, 1, 1, 1)",5,21
"(7, 3, 2, 2, 2, 2, 1, 1, 1)",4,21
"(6, 4, 2, 2, 2, 2, 1, 1, 1)",6,21
"(5, 5, 2, 2, 2, 2, 1, 1, 1)",2,21
"(10, 2, 2, 2, 2, 1, 1, 1)",6,21
"(3, 3, 3, 3, 2, 2, 2, 1, 1, 1)",1,21
"(6, 3, 3, 2, 2, 2, 1, 1, 1)",2,21
"(5, 4, 3, 2, 2, 2, 1, 1, 1)",2,21
"(9, 3, 2, 2, 2, 1, 1, 1)",3,21
"(4, 4, 4, 2, 2, 2, 1, 1, 1)",4,21
"(8, 4, 2, 2, 2, 1, 1, 1)",0,21
"(7, 5, 2, 2, 2, 1, 1, 1)",7,21
"(6, 6, 2, 2, 2, 1, 1, 1)",3,21
"(12, 2, 2, 2, 1, 1, 1)",4,21
"(5, 3, 3, 3, 2, 2, 1, 1, 1)",4,21
"(4, 4, 3, 3, 2, 2, 1, 1, 1)",5,21
"(8, 3, 3, 2, 2, 1, 1, 1)",0,21
"(7, 4, 3, 2, 2, 1, 1, 1)",2,21
"(6, 5, 3, 2, 2, 1, 1, 1)",3,21
"(11, 3, 2, 2, 1, 1, 1)",4,21
"(6, 4, 4, 2, 2, 1, 1, 1)",6,21
"(5, 5, 4, 2, 2, 1, 1, 1)",1,21
"(10, 4, 2, 2, 1, 1, 1)",5,21
"(9, 5, 2, 2, 1, 1, 1)",0,21
"(8, 6, 2, 2, 1, 1, 1)",6,21
"(7, 7, 2, 2, 1, 1, 1)",2,21
"(14, 2, 2, 1, 1, 1)",3,21
"(4, 3, 3, 3, 3, 2, 1, 1, 1)",4,21
"(7, 3, 3, 3, 2, 1, 1, 1)",5,21
"(6, 4, 3, 3, 2, 1, 1, 1)",4,21
"(5, 5, 3, 3, 2, 1, 1, 1)",5,21
"(10, 3, 3, 2, 1, 1, 1)",2,21
"(5, 4, 4, 3, 2, 1, 1, 1)",6,21
"(9, 4, 3, 2, 1, 1, 1)",1,21
"(8, 5, 3, 2, 1, 1, 1)",2,21
"(7, 6, 3, 2, 1, 1, 1)",3,21
"(13, 3, 2, 1, 1, 1)",0,21
"(4, 4, 4, 4, 2, 1, 1, 1)",3,21
"(8, 4, 4, 2, 1, 1, 1)",4,21
"(7, 5, 4, 2, 1, 1, 1)",4,21
"(6, 6, 4, 2, 1, 1, 1)",0,21
"(12, 4, 2, 1, 1, 1)",4,21
"(6, 5, 5, 2, 1, 1, 1)",2,21
"(11, 5, 2, 1, 1, 1)",3,21
"(10, 6, 2, 1, 1, 1)",0,21
"(9, 7, 2, 1, 1, 1)",7,21
"(8, 8, 2, 1, 1, 1)",3,21
"(16, 2, 1, 1, 1)",2,21
"(3, 3, 3, 3, 3, 3, 1, 1, 1)",1,21
"(6, 3, 3, 3, 3, 1, 1, 1)",3,21
"(5, 4, 3, 3, 3, 1, 1, 1)",0,21
"(9, 3, 3, 3, 1, 1, 1)",5,21
"(4, 4, 4, 3, 3, 1, 1, 1)",3,21
"(8, 4, 3, 3, 1, 1, 1)",1,21
"(7, 5, 3, 3, 1, 1, 1)",6,21
"(6, 6, 3, 3, 1, 1, 1)",4,21
"(12, 3, 3, 1, 1, 1)",3,21
"(7, 4, 4, 3, 1, 1, 1)",1,21
"(6, 5, 4, 3, 1, 1, 1)",6,21
"(11, 4, 3, 1, 1, 1)",2,21
"(5, 5, 5, 3, 1, 1, 1)",1,21
"(10, 5, 3, 1, 1, 1)",7,21
"(9, 6, 3, 1, 1, 1)",2,21
"(8, 7, 3, 1, 1, 1)",3,21
"(15, 3, 1, 1, 1)",4,21
"(6, 4, 4, 4, 1, 1, 1)",5,21
"(5, 5, 4, 4, 1, 1, 1)",2,21
"(10, 4, 4, 1, 1, 1)",3,21
"(9, 5, 4, 1, 1, 1)",3,21
"(8, 6, 4, 1, 1, 1)",4,21
"(7, 7, 4, 1, 1, 1)",0,21
"(14, 4, 1, 1, 1)",4,21
"(8, 5, 5, 1, 1, 1)",3,21
"(7, 6, 5, 1, 1, 1)",0,21
"(13, 5, 1, 1, 1)",4,21
"(6, 6, 6, 1, 1, 1)",3,21
"(12, 6, 1, 1, 1)",4,21
"(11, 7, 1, 1, 1)",4,21
"(10, 8, 1, 1, 1)",0,21
"(9, 9, 1, 1, 1)",1,21
"(18, 1, 1, 1)",3,21
"(3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1)",1,21
"(5, 2, 2, 2, 2, 2, 2, 2, 1, 1)",0,21
"(4, 3, 2, 2, 2, 2, 2, 2, 1, 1)",3,21
